SubstitutionRate,Theta
0.0001745 ,201.02400000000003
5.76166404e-05 ,66.3743697408
5.60006038e-05 ,64.5126955776
0.00040996 ,472.27392
0.00031399 ,361.71648
9.60305407e-05 ,110.62718288639999
0.0001399 ,161.1648
4.48438951e-05 ,51.66016715519999
0.00023486 ,270.55872
0.00012091 ,139.28832
0.00040363 ,464.98176
0.00042051 ,484.4275200000001
0.00041875 ,482.40000000000003
0.00017473 ,201.28896
0.00014688 ,169.20576
0.00024445 ,281.6064
0.00036723 ,423.04896
0.00034462 ,397.00224000000003
5.34356718e-05 ,61.5578939136
0.00028055 ,323.1936
0.00027419 ,315.86688
0.00021414 ,246.68928
0.00022788 ,262.51776
0.00012683 ,146.10816
5.92405087e-05 ,68.2450660224
0.00034992 ,403.10784
5.14427303e-05 ,59.2620253056
8.89267553e-05 ,102.44362210560001
2.33427957e-05 ,26.890900646400002
0.00034016 ,391.86432
0.00020529 ,236.49408
0.00041635 ,479.6352
6.14272591e-05 ,70.76420248320001
0.00035708 ,411.35616
6.53822174e-05 ,75.3203144448
0.00011784 ,135.75168
8.14899079e-05 ,93.8763739008
0.00022627 ,260.66304
0.00012019 ,138.45888
0.000288 ,331.77600000000007
0.00028843 ,332.27136
1.63561687e-05 ,18.8423063424
0.00012013 ,138.38976
0.00023743 ,273.51936
0.00036417 ,419.52384
0.00031091 ,358.16832
4.51225999e-06 ,5.19812350848
0.00039988 ,460.66176
0.0003668 ,422.5536
0.00023426 ,269.86752
0.00026295 ,302.9184
0.00040861 ,470.71872
0.00031036 ,357.53472
0.00014043 ,161.77536
0.00035792 ,412.32384
4.84293749e-05 ,55.7906398848
0.00042865 ,493.8048
0.00037639 ,433.60128
2.59811108e-06 ,2.9930239641600003
2.92496832e-05 ,33.6956350464
0.00018828 ,216.89856
0.00017985 ,207.18720000000002
0.00031619 ,364.25087999999994
0.00019621 ,226.03392
0.00043167 ,497.28384
0.00029973 ,345.28896
0.00036398 ,419.30496000000005
0.00031209 ,359.52768
6.21462028e-05 ,71.5924256256
0.00018401 ,211.97952
0.00022532 ,259.56864
