SubstitutionRate,Theta
0.00088549 ,605.67516
0.00059345 ,405.9198
0.00039298 ,268.79832
0.00052489 ,359.02475999999996
0.0005063 ,346.3092
0.00039247 ,268.44948000000005
0.00042954 ,293.80536
0.00046414 ,317.47176
0.00099426 ,680.07384
0.0005542 ,379.07280000000003
0.00027995 ,191.48579999999998
0.00044983 ,307.68372
0.00051502 ,352.27368
0.0009617 ,657.8028
0.00020763 ,142.01891999999998
0.00071695 ,490.39380000000006
0.00037037 ,253.33308000000002
0.00019153 ,131.00652
0.00047543 ,325.19412
0.00050698 ,346.77432
0.00065529 ,448.21836
0.00068861 ,471.00924
0.00038519 ,263.46995999999996
0.00033475 ,228.969
0.00043089 ,294.72876
0.00065618 ,448.82712
0.00068931 ,471.48804000000007
0.00058285 ,398.6694
0.0005904 ,403.83360000000005
0.00067545 ,462.0078
0.00058359 ,399.17556
0.00044185 ,302.2254
0.00097547 ,667.2214799999999
0.000895 ,612.1800000000001
0.00067848 ,464.08032
4.55553401e-05 ,31.1598526284
0.00055116 ,376.99343999999996
0.00020167 ,137.94228
0.00017017 ,116.39628
5.61769204e-05 ,38.4250135536
0.00016053 ,109.80252
0.00040155 ,274.6602
6.04081109e-05 ,41.3191478556
0.00073166 ,500.45544
5.67007975e-05 ,38.78334549
0.00100071 ,684.48564
0.00078131 ,534.4160400000001
0.00058854 ,402.56136000000004
0.00022148 ,151.49232
0.00053539 ,366.20676
0.0003645 ,249.31800000000004
0.00050554 ,345.78936
0.00068533 ,468.76572000000004
0.00090595 ,619.6698
0.00085424 ,584.30016
0.00086303 ,590.31252
0.00072695 ,497.2338
0.00067531 ,461.91204000000005
0.00030961 ,211.77324
0.00038442 ,262.94328
0.00035752 ,244.54368
0.00090677 ,620.23068
0.00058049 ,397.05516000000006
0.00100676 ,688.6238400000001
0.00051216 ,350.31744
0.00082045 ,561.1878
0.00070026 ,478.97784
0.00031409 ,214.83756
0.00058831 ,402.40404
8.75846163e-05 ,59.9078775492
0.0008843 ,604.8611999999999
0.00032996 ,225.69264
0.00094265 ,644.7726
0.00045607 ,311.95187999999996
0.00014886 ,101.82024000000001
0.0001956 ,133.7904
0.00047888 ,327.55392
0.00018692 ,127.85328
0.00098871 ,676.27764
0.0006881 ,470.6604
0.00018096 ,123.77664
0.00043646 ,298.53864
0.00040127 ,274.46868
0.00081391 ,556.71444
0.00100441 ,687.01644
0.00073439 ,502.32276
0.00022787 ,155.86308
0.00023669 ,161.89596
0.00073398 ,502.04231999999996
0.00024332 ,166.43087999999997
0.0005046 ,345.1464
0.00018698 ,127.89432000000001
0.00063034 ,431.15256
0.00066852 ,457.26768
0.00069967 ,478.57428
4.34677048e-05 ,29.7319100832
3.09892164e-06 ,2.11966240176
0.00013236 ,90.53424
0.00016929 ,115.79436
0.00041914 ,286.69176
2.05771333e-05 ,14.0747591772
0.00082864 ,566.78976
0.00032003 ,218.90052000000003
4.08129368e-05 ,27.916048771200003
0.00093748 ,641.23632
0.0009496 ,649.5264
0.00065672 ,449.19647999999995
5.00228888e-06 ,3.4215655939199996
0.00043655 ,298.6002
0.00045048 ,308.12832
0.00073347 ,501.69347999999997
0.00075912 ,519.23808
0.00014365 ,98.2566
5.22074455e-05 ,35.709892722
0.00029045 ,198.6678
0.00076981 ,526.55004
0.00096559 ,660.4635599999999
0.00033821 ,231.33563999999996
0.00097676 ,668.10384
0.00095324 ,652.01616
0.0008601 ,588.3084
0.00093309 ,638.23356
0.00072919 ,498.76596
2.84297076e-05 ,19.4459199984
0.00063523 ,434.49731999999995
0.00028118 ,192.32712000000004
0.00054946 ,375.83063999999996
0.0003821 ,261.3564
0.00039284 ,268.70256
0.00038012 ,260.00208000000003
0.00012902 ,88.24968
0.00076741 ,524.90844
2.69258962e-05 ,18.4173130008
0.00084161 ,575.66124
0.00058016 ,396.82944000000003
0.00026351 ,180.24084000000002
0.00067609 ,462.44556
0.00068473 ,468.35532000000006
0.00081982 ,560.75688
7.02542408e-05 ,48.05390070719999
0.00024497 ,167.55948
0.00088205 ,603.3222
0.00066084 ,452.01455999999996
0.00088579 ,605.88036
0.0007934 ,542.6856
0.00095905 ,655.9902000000001
8.88073649e-05 ,60.744237591600005
0.00064563 ,441.61092
0.00095188 ,651.08592
0.00070893 ,484.90811999999994
0.00072342 ,494.81928000000005
0.00067761 ,463.48524000000003
0.00056709 ,387.88955999999996
0.00021733 ,148.65372
0.0004463 ,305.2692
0.00055091 ,376.82244000000003
0.0007099 ,485.5716
0.00057389 ,392.54076000000003
0.0001888 ,129.1392
0.00089699 ,613.54116
0.00089747 ,613.86948
0.0002381 ,162.8604
0.00011135 ,76.1634
0.00074955 ,512.6922
0.00067471 ,461.50164
8.74697214e-05 ,59.829289437599996
1.84760818e-05 ,12.637639951199999
0.00059424 ,406.46016
0.00075594 ,517.06296
0.0007517 ,514.1628000000001
0.0005528 ,378.11519999999996
0.00040388 ,276.25392
0.00043307 ,296.21988
0.00044831 ,306.64404
0.00043578 ,298.07352
0.00049764 ,340.38576
0.00072427 ,495.40067999999997
0.00080923 ,553.51332
0.00095277 ,651.69468
0.00089297 ,610.79148
0.00020047 ,137.12148000000002
3.32060097e-05 ,22.712910634799997
0.00048792 ,333.73728
0.00094064 ,643.39776
0.00078291 ,535.51044
0.0006897 ,471.7548
2.4431351e-05 ,16.711044084
0.00048467 ,331.51428
0.00013291 ,90.91044
0.00088375 ,604.485
0.00036634 ,250.57656
0.00056427 ,385.96067999999997
2.83662672e-05 ,19.4025267648
0.00034635 ,236.9034
0.00015093 ,103.23611999999999
0.00066342 ,453.77928
0.00074962 ,512.7400799999999
0.00052404 ,358.44336000000004
0.00078827 ,539.17668
0.00090658 ,620.10072
1.98612991e-05 ,13.5851285844
0.00026953 ,184.35852
0.00025678 ,175.63752
8.11039522e-06 ,5.54751033048
0.00017195 ,117.6138
0.00076891 ,525.93444
0.00062651 ,428.53284
0.00030644 ,209.60496
0.00100604 ,688.1313599999999
0.00036945 ,252.7038
0.0004041 ,276.4044
0.00072209 ,493.90956
0.00054802 ,374.84567999999996
0.00070972 ,485.44847999999996
1.18302562e-06 ,0.80918952408
0.00024789 ,169.55676000000003
0.00090374 ,618.15816
0.00101026 ,691.01784
0.00060594 ,414.46296
0.00082664 ,565.4217600000001
5.75120533e-05 ,39.3382444572
0.00039622 ,271.01448
0.00091521 ,626.00364
0.00040444 ,276.63696
0.00092604 ,633.4113600000001
0.00088474 ,605.16216
0.00021741 ,148.70844
0.00080843 ,552.9661199999999
0.00094728 ,647.93952
4.51065016e-05 ,30.8528470944
0.00082621 ,565.12764
0.00072992 ,499.26528
0.00040977 ,280.28268
0.00084034 ,574.79256
0.00052112 ,356.44608
0.00094948 ,649.4443200000001
0.00031929 ,218.39436
6.30707237e-05 ,43.1403750108
0.00084477 ,577.82268
9.6277735e-05 ,65.85397074000001
2.33464103e-05 ,15.968944645199999
0.00047644 ,325.88496000000004
0.00035808 ,244.92672000000002
0.00097121 ,664.30764
0.00031681 ,216.69804
0.00033481 ,229.01004
0.00073425 ,502.227
0.00025747 ,176.10948
0.00018096 ,123.77664
0.00036716 ,251.13744
0.00032959 ,225.43956
0.00083189 ,569.01276
0.00066565 ,455.30460000000005
0.00099586 ,681.1682400000001
1.38481609e-05 ,9.472142055599999
0.00041798 ,285.89831999999996
0.00021517 ,147.17628
0.00050787 ,347.38308
0.00081244 ,555.7089599999999
0.000956 ,653.904
5.98551436e-06 ,4.09409182224
0.00065267 ,446.4262800000001
0.00019699 ,134.74116
0.00086093 ,588.87612
0.00010775 ,73.701
0.00085619 ,585.6339599999999
0.00066765 ,456.6726
