SubstitutionRate,Theta
8.90391934e-05 ,106.1347185328
0.00029823 ,355.49016
0.00039874 ,475.29808
0.00035038 ,417.65296
5.25605308e-06 ,6.26521527136
3.82264422e-05 ,45.5659191024
0.00013781 ,164.26952000000003
0.00025872 ,308.39424
0.00036198 ,431.48015999999996
0.0001645 ,196.08399999999997
0.00035332 ,421.15744
0.00017352 ,206.83584000000002
8.33984856e-06 ,9.94109948352
3.36853381e-05 ,40.1529230152
0.00023892 ,284.79264
0.00030677 ,365.66983999999997
8.41504879e-05 ,100.3073815768
0.0001898 ,226.2416
0.00020296 ,241.92832
0.00012906 ,153.83951999999996
0.00035373 ,421.64616
0.00021359 ,254.59928
0.00029692 ,353.92864000000003
0.00037758 ,450.07536
4.2997013e-05 ,51.252439496
0.00020511 ,244.49112
0.00040223 ,479.45815999999996
0.00034442 ,410.54864
4.75928444e-05 ,56.730670524800004
0.00015492 ,184.66463999999996
0.00032632 ,388.97344
0.0003745 ,446.404
4.41757619e-05 ,52.65750818480001
9.47830487e-05 ,112.9813940504
0.00034104 ,406.51967999999994
0.00018181 ,216.71752
0.0002832 ,337.5744
0.00032213 ,383.97896000000003
0.00015504 ,184.80768
0.00038449 ,458.31208000000004
1.81377086e-06 ,2.16201486512
0.00025087 ,299.03704
0.00022818 ,271.99056
0.00040955 ,488.1836
3.31261228e-05 ,39.4863383776
0.00014364 ,171.21887999999998
1.74762478e-05 ,20.831687377599998
0.00029458 ,351.13936
0.0003619 ,431.3848
3.26017813e-05 ,38.8613233096
0.00022287 ,265.66104
4.291963e-05 ,51.16019896
0.00021456 ,255.75552
0.00012428 ,148.14176
6.6135622e-05 ,78.83366142399998
0.00031329 ,373.44167999999996
0.00033128 ,394.88575999999995
1.88824524e-05 ,22.5078832608
8.30871891e-05 ,99.0399294072
0.00010364 ,123.53888
4.26369678e-05 ,50.8232656176
3.89936845e-05 ,46.480471924
2.40377375e-05 ,28.6529831
0.00025199 ,300.37208
0.00017952 ,213.98783999999998
0.00029708 ,354.11936000000003
7.04036152e-05 ,83.92110931840001
3.63818889e-08 ,0.0433672115688
0.00041101 ,489.92392
0.00024334 ,290.06128
0.00011589 ,138.14088
0.00032321 ,385.26632
8.309528e-05 ,99.04957375999999
0.00029602 ,352.85583999999994
0.00019065 ,227.2548
0.00038952 ,464.30784000000006
0.00040968 ,488.33856
0.00026638 ,317.52496
0.00028504 ,339.76768000000004
0.0002324 ,277.0208
0.00014954 ,178.25168000000002
0.00039389 ,469.51687999999996
0.00034616 ,412.62271999999996
0.00036831 ,439.02552000000003
0.00034462 ,410.78704000000005
0.0003195 ,380.844
0.00014356 ,171.12351999999998
2.76626404e-05 ,32.9738673568
0.00020112 ,239.73504
0.00040684 ,484.95327999999995
0.00031981 ,381.2135200000001
0.00019244 ,229.38848
0.00013972 ,166.54624
0.00026734 ,318.66928
0.00025647 ,305.71224000000007
0.0003501 ,417.3192
0.00029489 ,351.50888000000003
0.00018045 ,215.0964
2.87556484e-05 ,34.2767328928
0.00027893 ,332.48456
0.00036799 ,438.64408
0.00020138 ,240.04496
0.00022911 ,273.09912
0.00018656 ,222.37952
0.00018646 ,222.26031999999998
0.00037392 ,445.71264
1.31830493e-05 ,15.714194765599999
0.00031754 ,378.50768
9.89300968e-05 ,117.9246753856
0.00013183 ,157.14136
0.00033878 ,403.82576
6.19147737e-05 ,73.8024102504
6.6736562e-05 ,79.54998190399999
0.00022733 ,270.97736000000003
0.00011213 ,133.65895999999998
0.00012512 ,149.14303999999998
0.00039928 ,475.94176000000004
0.00022397 ,266.97224
3.22859887e-05 ,38.484898530399995
0.00012144 ,144.75648
0.00024605 ,293.2916
6.01706058e-05 ,71.7233621136
8.35401931e-05 ,99.5799101752
0.00020992 ,250.22464
0.00025265 ,301.1588
0.00013425 ,160.026
0.00014577 ,173.75784000000002
0.00030321 ,361.42632
0.00010915 ,130.1068
1.50947626e-05 ,17.992957019200002
3.15161044e-05 ,37.567196444800004
0.00023608 ,281.40736000000004
0.00015411 ,183.69912
3.04698276e-05 ,36.320034499200005
0.00039597 ,471.99624
0.00018165 ,216.5268
0.0001344 ,160.20479999999998
0.00030152 ,359.41184
0.0002571 ,306.4632
0.00034553 ,411.87176
0.00019807 ,236.09944
9.97632268e-05 ,118.91776634560001
0.00011834 ,141.06128
3.53284677e-05 ,42.11153349840001
0.00027628 ,329.32576
0.00030594 ,364.68048
0.00015505 ,184.81959999999998
9.00098302e-05 ,107.2917175984
0.00031898 ,380.22416
4.59862126e-05 ,54.8155654192
0.00014309 ,170.56328
0.00039872 ,475.27423999999996
0.00040016 ,476.99072
