SubstitutionRate,Theta
1.05067789e-05 ,9.9183992816
4.80226206e-05 ,45.3333538464
1.28138577e-05 ,12.0962816688
2.74480989e-06 ,2.59110053616
6.83539921e-05 ,64.5261685424
6.71936404e-05 ,63.4307965376
5.50442722e-05 ,51.9617929568
9.59541774e-06 ,9.058074346560002
4.17227915e-05 ,39.386315176000004
8.31144895e-05 ,78.460078088
8.44417032e-05 ,79.7129678208
0.00010321 ,97.43024
9.81554964e-05 ,92.6587886016
5.70459669e-05 ,53.8513927536
5.10542302e-05 ,48.1951933088
4.0181681e-05 ,37.931506864000006
0.00010397 ,98.14768
1.91663586e-05 ,18.0930425184
8.17594466e-05 ,77.1809175904
3.51767177e-05 ,33.2068215088
5.21975791e-06 ,4.92745146704
8.58783831e-05 ,81.0691936464
3.41751324e-05 ,32.2613249856
4.91707989e-05 ,46.4172341616
6.73538639e-05 ,63.5820475216
2.06895387e-06 ,1.95309245328
8.98669547e-05 ,84.8344052368
1.75243185e-05 ,16.542956664000002
3.21026639e-05 ,30.304914721599996
7.23863469e-05 ,68.3327114736
6.2018549e-06 ,5.8545510256
4.73909564e-05 ,44.7370628416
9.81689138e-05 ,92.67145462719999
2.78182988e-05 ,26.2604740672
2.68371419e-05 ,25.3342619536
4.71087237e-05 ,44.4706351728
6.91565649e-05 ,65.2837972656
6.69973765e-05 ,63.245523416
4.19872596e-05 ,39.6359730624
3.271102e-05 ,30.87920288
0.00010559 ,99.67696000000001
4.15770418e-05 ,39.2487274592
7.52519193e-05 ,71.0378118192
3.98885218e-05 ,37.6547645792
8.45431476e-05 ,79.80873133440001
6.70000512e-05 ,63.248048332799996
8.19599025e-05 ,77.37014796
6.92757801e-05 ,65.3963364144
6.90997649e-05 ,65.2301780656
4.22793399e-05 ,39.9116968656
2.93411975e-05 ,27.698090439999998
9.00700048e-05 ,85.0260845312
7.55684436e-06 ,7.13366107584
1.19237148e-05 ,11.2559867712
5.81229798e-05 ,54.8680929312
3.44839928e-06 ,3.25528892032
2.88224085e-05 ,27.208353624
5.35160951e-05 ,50.5191937744
6.98419622e-05 ,65.9308123168
0.00010488 ,99.00672
5.25779469e-06 ,4.96335818736
5.13976249e-05 ,48.5193579056
6.39851003e-05 ,60.4019346832
2.74805492e-05 ,25.9416384448
7.64817731e-05 ,72.19879380639999
3.06759557e-05 ,28.9581021808
6.35045809e-05 ,59.948324369599995
2.01282607e-05 ,19.0010781008
4.66832774e-05 ,44.0690138656
6.97459657e-05 ,65.84019162080001
7.86776961e-05 ,74.2717451184
8.99742789e-05 ,84.9357192816
8.39439256e-05 ,79.2430657664
5.28178325e-05 ,49.86003388
7.57293525e-05 ,71.48850876
2.12506676e-05 ,20.0606302144
6.50033066e-05 ,61.36312143040001
1.72079012e-05 ,16.2442587328
4.15040927e-05 ,39.179863508800004
2.68291539e-05 ,25.3267212816
6.10607006e-06 ,5.76413013664
0.00010064 ,95.00416
8.69886049e-05 ,82.1172430256
5.79818512e-05 ,54.734867532799996
9.51114329e-05 ,89.7851926576
5.11163196e-05 ,48.2538057024
1.35273685e-05 ,12.769835864000001
8.38744454e-05 ,79.1774764576
5.31239952e-05 ,50.149051468799996
1.03317455e-05 ,9.753167752000001
8.82301256e-06 ,8.32892385664
4.09230052e-05 ,38.6313169088
1.03452639e-05 ,9.765929121600001
7.64125336e-05 ,72.1334317184
7.16750176e-05 ,67.6612166144
1.20955651e-05 ,11.4182134544
8.89637122e-05 ,83.9817443168
7.07558239e-05 ,66.7934977616
6.44700384e-05 ,60.8597162496
5.13216344e-05 ,48.4476228736
9.96067937e-05 ,94.0288132528
1.57137592e-05 ,14.8337886848
5.26423656e-05 ,49.6943931264
1.83671696e-05 ,17.3386081024
5.07312759e-05 ,47.8903244496
6.92720871e-05 ,65.3928502224
6.07525041e-05 ,57.3503638704
9.07987685e-05 ,85.714037464
4.90998222e-05 ,46.3502321568
3.93919457e-05 ,37.1859967408
9.66029627e-05 ,91.1931967888
7.50222887e-05 ,70.8210405328
0.00010441 ,98.56304
9.29220475e-05 ,87.71841284000001
8.29976109e-05 ,78.3497446896
2.01221189e-05 ,18.9952802416
5.16680272e-05 ,48.7746176768
9.87965124e-07 ,0.9326390770560001
4.49857858e-05 ,42.4665817952
9.81949799e-05 ,92.69606102559999
5.48981721e-05 ,51.8238744624
7.79908491e-05 ,73.6233615504
9.56744607e-05 ,90.31669090080001
2.47825931e-06 ,2.33947678864
4.65672529e-05 ,43.959486737599995
0.00010561 ,99.69583999999999
2.72492194e-05 ,25.7232631136
2.78505515e-06 ,2.6290920616
1.80057643e-05 ,16.997441499199997
6.66577897e-05 ,62.9249534768
3.48822208e-05 ,32.9288164352
6.5698707e-05 ,62.019579408
6.12214323e-05 ,57.7930320912
5.61324232e-05 ,52.9890075008
6.05993448e-05 ,57.2057814912
9.67373385e-05 ,91.32004754399999
2.41835151e-05 ,22.8292382544
2.5392543e-05 ,23.970560592
0.00010568 ,99.76192
2.96622637e-05 ,28.0011769328
8.06157176e-05 ,76.1012374144
6.68126964e-05 ,63.0711854016
5.55240404e-05 ,52.4146941376
1.445005e-05 ,13.640847200000001
2.45686267e-05 ,23.1927836048
1.65824549e-05 ,15.6538374256
4.37834388e-05 ,41.33156622720001
1.71744205e-05 ,16.212652952
7.99646231e-05 ,75.4866042064
5.13829367e-06 ,4.850549224479999
8.19897115e-05 ,77.398287656
7.3660571e-05 ,69.53557902400001
1.97392037e-05 ,18.633808292799998
7.20221401e-05 ,67.9889002544
7.15245387e-05 ,67.5191645328
0.00010294 ,97.17536
6.7888555e-05 ,64.08679592
0.00010207 ,96.35408000000001
8.46831112e-05 ,79.9408569728
0.00010587 ,99.94128
7.89007355e-05 ,74.482294312
7.4944225e-05 ,70.7473484
7.75910474e-05 ,73.2459487456
4.08940772e-06 ,3.8604008876800004
5.89328276e-05 ,55.6325892544
6.91894972e-05 ,65.31488535679999
7.48231276e-05 ,70.6330324544
9.62973307e-05 ,90.90468018079999
8.77051469e-05 ,82.7936586736
8.94343998e-05 ,84.42607341120001
7.4728108e-05 ,70.543333952
7.15075644e-05 ,67.5031407936
4.4208548e-05 ,41.732869312
9.21237451e-06 ,8.696481537439999
8.07364434e-05 ,76.21520256960001
4.73502602e-05 ,44.6986456288
4.06193106e-05 ,38.3446292064
3.00283277e-05 ,28.3467413488
1.70087817e-05 ,16.0562899248
0.00010429 ,98.44976000000001
2.43456642e-05 ,22.982307004800003
2.68532458e-05 ,25.3494640352
8.14434864e-05 ,76.8826511616
3.65007378e-05 ,34.456696483200005
6.29301774e-06 ,5.940608746560001
1.70420305e-05 ,16.087676792
4.406962e-05 ,41.60172128
7.99885172e-05 ,75.5091602368
1.43740786e-05 ,13.5691301984
5.32381306e-05 ,50.2567952864
4.00181652e-05 ,37.77714794880001
4.93918101e-05 ,46.6258687344
6.42558974e-05 ,60.6575671456
9.58742371e-05 ,90.50527982240001
8.93524633e-05 ,84.3487253552
9.18112698e-06 ,8.666983869120001
5.49198788e-05 ,51.8443655872
6.16343235e-05 ,58.182801384
7.45468147e-05 ,70.37219307679999
9.13332641e-07 ,0.862186013104
0.00010223 ,96.50512
7.90208424e-05 ,74.5956752256
2.16464341e-05 ,20.4342337904
5.87407002e-05 ,55.4512209888
9.9890084e-05 ,94.29623929600001
6.97239582e-05 ,65.8194165408
4.69404825e-08 ,0.044311815479999996
8.78855493e-06 ,8.296395853920002
4.08429569e-05 ,38.5557513136
3.39238309e-05 ,32.0240963696
8.72397435e-05 ,82.35431786400001
0.00010408 ,98.25152
3.60037812e-06 ,3.39875694528
