SubstitutionRate,Theta
4.05323188e-05 ,46.693231257600004
1.60028664e-05 ,18.4353020928
5.49057302e-05 ,63.251401190399996
3.96804707e-05 ,45.7119022464
5.25989347e-05 ,60.5939727744
3.05367012e-05 ,35.178279782400004
5.02127143e-05 ,57.845046873600005
3.68614051e-05 ,42.4643386752
7.00625634e-06 ,8.07120730368
2.39948534e-05 ,27.642071116800004
8.12767977e-05 ,93.6308709504
7.12958059e-05 ,82.13276839679999
5.57033402e-05 ,64.1702479104
9.9258351e-05 ,114.345620352
7.61011393e-05 ,87.66851247359999
5.2946537e-05 ,60.994410624000004
6.30865911e-05 ,72.67575294720001
0.00010371 ,119.47391999999999
2.70741724e-05 ,31.189446604799997
7.23673254e-05 ,83.3671588608
9.96695021e-05 ,114.8192664192
6.69270134e-05 ,77.0999194368
6.11344994e-05 ,70.4269433088
2.47759162e-05 ,28.5418554624
6.90826261e-05 ,79.58318526720001
5.24271889e-05 ,60.396121612799995
8.9445491e-05 ,103.041205632
0.00010217 ,117.69984000000001
9.87978503e-05 ,113.8151235456
2.78381216e-05 ,32.0695160832
5.96074293e-05 ,68.6677585536
8.40032203e-05 ,96.7717097856
5.34123388e-05 ,61.5310142976
9.33507314e-05 ,107.54004257280002
9.79242759e-06 ,11.28087658368
7.74576752e-05 ,89.2312418304
8.91225907e-05 ,102.6692244864
1.89942612e-05 ,21.881388902399998
3.67629722e-05 ,42.3509439744
6.8586439e-05 ,79.01157772799999
2.70768289e-05 ,31.192506892799997
5.98750632e-05 ,68.9760728064
6.61419403e-05 ,76.1955152256
8.26117163e-05 ,95.1686971776
3.15914873e-05 ,36.393393369600005
0.0001036 ,119.3472
7.35343816e-06 ,8.47116076032
4.11562079e-05 ,47.4119515008
6.23532312e-05 ,71.8309223424
9.11213054e-05 ,104.9717438208
5.56941818e-06 ,6.41596974336
8.2954979e-05 ,95.564135808
9.14527338e-05 ,105.3535493376
4.37347747e-05 ,50.3824604544
9.71320817e-05 ,111.8961581184
2.1386763e-05 ,24.637550976
7.54562748e-05 ,86.92562856960001
3.79392866e-05 ,43.706058163200005
7.53621567e-05 ,86.8172045184
7.72930636e-05 ,89.0416092672
3.10740327e-05 ,35.7972856704
7.20724729e-05 ,83.0274887808
9.97990237e-05 ,114.96847530239998
6.81450777e-05 ,78.5031295104
5.49685366e-05 ,63.3237541632
6.47344345e-05 ,74.57406854400001
5.57620993e-06 ,6.42379383936
9.74196297e-05 ,112.22741341439999
7.62322237e-05 ,87.81952170239998
6.20361035e-05 ,71.465591232
9.50290704e-05 ,109.4734891008
6.78159155e-05 ,78.123934656
5.58999869e-05 ,64.3967849088
1.55194543e-05 ,17.8784113536
1.21792791e-05 ,14.030529523199998
8.50404654e-05 ,97.9666161408
8.55297205e-05 ,98.53023801599998
3.09077619e-05 ,35.605741708800004
0.0001025 ,118.08
5.18482715e-06 ,5.972920876800001
5.04904469e-05 ,58.1649948288
3.25918617e-05 ,37.545824678399995
7.24496239e-05 ,83.46196673280001
3.03223531e-05 ,34.931350771199995
2.27651129e-05 ,26.2254100608
5.17883305e-05 ,59.660156736
9.2561129e-05 ,106.630420608
8.63241993e-05 ,99.4454775936
6.15861941e-05 ,70.9472956032
6.69570759e-05 ,77.13455143680001
7.46885386e-05 ,86.0411964672
6.09805372e-05 ,70.2495788544
6.0201884e-05 ,69.352570368
1.33442071e-05 ,15.372526579200002
4.98079319e-05 ,57.3787375488
3.19432137e-05 ,36.7985821824
2.04138588e-05 ,23.5167653376
9.17552005e-05 ,105.701990976
6.23111728e-05 ,71.78247106559999
2.53390929e-05 ,29.1906350208
9.90220801e-05 ,114.0734362752
3.0520991e-05 ,35.160181632
4.60018577e-05 ,52.9941400704
3.01421861e-05 ,34.7237983872
4.28740162e-05 ,49.39086666239999
9.81777652e-07 ,1.131007855104
9.31957471e-05 ,107.3615006592
7.03038417e-05 ,80.99002563840001
7.90952659e-05 ,91.11774631680001
4.46263739e-05 ,51.409582732800004
5.03089345e-05 ,57.955892544
9.47601601e-05 ,109.16370443519999
9.21848877e-05 ,106.1969906304
9.83122391e-05 ,113.2556994432
5.42757199e-05 ,62.52562932480001
2.8995614e-05 ,33.402947327999996
1.25167256e-06 ,1.44192678912
1.37794438e-05 ,15.873919257599999
8.42260525e-05 ,97.02841248
6.81719876e-08 ,0.07853412971519999
9.13518264e-06 ,10.52373040128
3.35224202e-06 ,3.86178280704
5.51335901e-05 ,63.51389579520001
3.31496365e-05 ,38.188381248000006
4.06217927e-05 ,46.7963051904
3.63448556e-05 ,41.8692736512
7.01393852e-05 ,80.8005717504
2.64437864e-05 ,30.463241932800003
8.68341033e-05 ,100.03288700159999
7.60531445e-05 ,87.613222464
6.6548625e-05 ,76.664016
4.54858687e-05 ,52.3997207424
7.26324437e-05 ,83.6725751424
5.9153731e-05 ,68.145098112
1.10893425e-05 ,12.77492256
9.558314e-05 ,110.11177728000001
9.54821468e-05 ,109.9954331136
5.21950063e-05 ,60.1286472576
4.78332769e-07 ,0.551039349888
2.55025943e-05 ,29.378988633600002
8.16409832e-06 ,9.405041264639998
8.24085255e-05 ,94.934621376
4.62704246e-05 ,53.303529139199995
8.25361387e-05 ,95.0816317824
5.98053408e-05 ,68.8957526016
8.04868539e-05 ,92.7208556928
9.53678964e-05 ,109.8638166528
1.32916275e-05 ,15.31195488
7.33138826e-05 ,84.45759275519998
6.51883344e-05 ,75.09696122880001
2.089112e-05 ,24.066570239999997
8.91232277e-06 ,10.26699583104
7.1785076e-06 ,8.2696407552
2.95892857e-05 ,34.086857126400005
7.00402212e-05 ,80.68633482239999
5.56358161e-05 ,64.0924601472
3.05737539e-05 ,35.22096449279999
4.71032502e-05 ,54.2629442304
7.35024849e-05 ,84.6748626048
8.94251295e-05 ,103.01774918400001
6.27019878e-05 ,72.2326899456
2.96790089e-05 ,34.1902182528
6.17393105e-05 ,71.12368569600001
8.4151665e-06 ,9.694271808
5.69947944e-06 ,6.565800314880001
7.83815636e-05 ,90.2955612672
1.2141358e-05 ,13.986844416
6.49449801e-05 ,74.81661707519999
4.51703092e-05 ,52.03619619839999
1.00641721e-05 ,11.5939262592
5.60892079e-05 ,64.6147675008
2.33962804e-05 ,26.9525150208
3.26295797e-05 ,37.589275814400004
4.73516734e-05 ,54.549127756800004
9.10820773e-05 ,104.92655304959999
6.23071532e-05 ,71.7778404864
6.10086849e-05 ,70.2820050048
6.4625556e-05 ,74.448640512
8.5221597e-05 ,98.175279744
8.59356556e-05 ,98.99787525119999
4.16970645e-05 ,48.035018304
9.39316918e-05 ,108.20930895359999
3.61928332e-05 ,41.694143846399996
2.0525491e-05 ,23.645365632
4.61119035e-05 ,53.120912832
8.95067476e-05 ,103.1117732352
5.58353285e-05 ,64.322298432
6.67962293e-05 ,76.94925615359999
4.02986237e-05 ,46.4240145024
9.68032053e-05 ,111.5172925056
8.65238529e-05 ,99.6754785408
4.97453329e-05 ,57.3066235008
5.33560704e-05 ,61.4661931008
3.99765633e-05 ,46.053000921599995
4.82786467e-05 ,55.6170009984
5.63820067e-05 ,64.9520717184
2.61664299e-05 ,30.1437272448
6.99028715e-05 ,80.52810796799999
3.60845036e-05 ,41.569348147199996
6.07652575e-05 ,70.00157664
0.00010108 ,116.44416000000001
1.20651404e-05 ,13.899041740800001
2.11190885e-06 ,2.4329189952
8.07477185e-05 ,93.02137171199999
2.49462303e-05 ,28.7380573056
5.25131438e-05 ,60.4951416576
2.93024181e-05 ,33.7563856512
2.33735187e-05 ,26.926293542399996
9.45645582e-05 ,108.9383710464
2.81546644e-05 ,32.434173388800005
8.60686968e-05 ,99.15113871359999
1.08629169e-05 ,12.5140802688
9.51093858e-05 ,109.56601244160001
2.56534924e-05 ,29.5528232448
5.11493882e-05 ,58.9240952064
4.88579067e-05 ,56.2843085184
8.28612948e-05 ,95.4562116096
2.8266006e-05 ,32.562438912
1.61882923e-05 ,18.648912729599996
3.47396237e-05 ,40.0200465024
0.00010264 ,118.24128000000002
5.63191223e-05 ,64.8796288896
8.48144208e-05 ,97.70621276160001
4.49346477e-05 ,51.764714150399996
3.29609812e-05 ,37.971050342400005
2.85231909e-05 ,32.8587159168
3.0362644e-06 ,3.4977765888
7.35969032e-06 ,8.47836324864
8.1114358e-05 ,93.443740416
9.10951502e-06 ,10.49416130304
6.98075082e-05 ,80.41824944640001
5.76880861e-05 ,66.4566751872
3.85797177e-05 ,44.443834790400004
4.57473934e-05 ,52.7009971968
2.90136413e-06 ,3.34237147776
9.82252007e-05 ,113.1554312064
6.10267449e-05 ,70.3028101248
1.89015112e-05 ,21.7745409024
5.67136299e-08 ,0.0653341016448
8.77523489e-05 ,101.0907059328
8.24639359e-05 ,94.9984541568
4.30484519e-05 ,49.5918165888
6.60701989e-05 ,76.1128691328
7.57395148e-05 ,87.2519210496
2.76933937e-05 ,31.9027895424
4.72861204e-05 ,54.4736107008
6.02240473e-05 ,69.3781024896
6.75220885e-06 ,7.7785445952
1.43199648e-05 ,16.496599449599998
