SubstitutionRate,Theta
8.51615209e-05 ,101.85317899639999
0.00014677 ,175.53692
0.000126 ,150.696
0.00013553 ,162.09388
0.00025298 ,302.56408
0.00017393 ,208.02028
0.00010161 ,121.52555999999998
0.00037423 ,447.57908000000003
2.73885907e-05 ,32.7567544772
0.00039714 ,474.97944
8.24039738e-05 ,98.5551526648
0.00039584 ,473.42464
0.0003867 ,462.49320000000006
1.03383592e-05 ,12.3646776032
6.2279557e-05 ,74.486350172
6.25615244e-05 ,74.8235831824
0.00029801 ,356.41996
0.00031736 ,379.56255999999996
0.00010129 ,121.14284
0.00033425 ,399.76300000000003
0.00023051 ,275.68996
6.74694593e-05 ,80.69347332279999
3.65394052e-05 ,43.7011286192
0.00027806 ,332.55976000000004
0.00039015 ,466.6194
0.00022024 ,263.40704
0.00033055 ,395.3378
0.00015428 ,184.51888
2.11376109e-06 ,2.52805826364
0.00017399 ,208.09204
0.00026289 ,314.41644
0.00013057 ,156.16172
0.00029835 ,356.8266
0.00034984 ,418.40864000000005
5.38454354e-06 ,6.43991407384
0.00010645 ,127.3142
0.00035853 ,428.80188000000004
2.39583287e-06 ,2.86541611252
0.00015556 ,186.04976
6.90883704e-05 ,82.62969099840001
2.62195146e-05 ,31.3585394616
0.00031731 ,379.50276
0.0003501 ,418.7196
0.00030146 ,360.54615999999993
0.00034242 ,409.53432
0.00013206 ,157.94376000000003
7.17740408e-05 ,85.8417527968
0.00023855 ,285.3058
0.00018781 ,224.62076000000002
0.00028945 ,346.1822
0.00036513 ,436.69548000000003
0.00029401 ,351.63596
0.00040688 ,486.62847999999997
9.40387574e-05 ,112.4703538504
0.00010816 ,129.35935999999998
0.00016995 ,203.26020000000003
0.00017142 ,205.01832000000002
0.00036295 ,434.0882
0.00030369 ,363.21324000000004
0.00015458 ,184.87768
0.00012437 ,148.74652
0.00014477 ,173.14492
0.00040755 ,487.4298
0.00028571 ,341.70916
0.00035035 ,419.0186
0.00017505 ,209.3598
0.00038131 ,456.04676
6.4996739e-05 ,77.736099844
9.97360003e-05 ,119.28425635880001
0.00029604 ,354.06384
5.79469304e-07 ,0.693045287584
0.00032186 ,384.94455999999997
0.00023101 ,276.28796
0.00036745 ,439.4702
0.00041789 ,499.7964400000001
0.00028382 ,339.44872000000004
0.000132 ,157.872
0.00011594 ,138.66424
0.00022787 ,272.53252
0.00034042 ,407.14232
0.00017634 ,210.90264
0.00035451 ,423.99396
0.00010756 ,128.64175999999998
0.00011667 ,139.53732000000002
6.70009428e-07 ,0.8013312758880001
0.00010688 ,127.82848
6.55348911e-05 ,78.3797297556
0.00010382 ,124.16872000000001
2.82778894e-05 ,33.8203557224
1.21639434e-05 ,14.5480763064
0.00018234 ,218.07864
0.00016078 ,192.29287999999997
9.25818758e-05 ,110.7279234568
2.45388355e-05 ,29.348447258
0.00022953 ,274.51788
0.00017068 ,204.13328000000004
0.00020006 ,239.27176000000003
3.92618019e-05 ,46.95711507239999
0.0003929 ,469.90840000000003
0.00030915 ,369.74339999999995
0.00035143 ,420.31028000000003
0.00023924 ,286.13104
0.00034985 ,418.4206
0.00023763 ,284.20548
0.00031742 ,379.63432
0.00027157 ,324.79771999999997
0.00025691 ,307.26436
0.00028441 ,340.15436
0.00027192 ,325.21632
0.00015259 ,182.49764
0.00036479 ,436.28884
0.00015276 ,182.70096
0.00012157 ,145.39772
0.00016309 ,195.05564
0.00017652 ,211.11792000000003
0.00027396 ,327.65616000000006
0.00017343 ,207.42228
9.57959622e-05 ,114.5719707912
5.14233303e-05 ,61.5023030388
0.00012316 ,147.29936
0.00028486 ,340.69256
0.00016022 ,191.62312
0.00026261 ,314.08155999999997
0.00015807 ,189.05172000000002
0.00041575 ,497.237
0.00014835 ,177.4266
0.000142 ,169.83200000000002
0.00025474 ,304.66903999999994
0.00034439 ,411.89043999999996
0.00036741 ,439.42235999999997
0.00013363 ,159.82148
0.00027711 ,331.42356
0.00038309 ,458.17564
0.00030025 ,359.09900000000005
0.00038587 ,461.50052
0.0002378 ,284.40880000000004
0.0004118 ,492.5128
0.00012718 ,152.10728000000003
0.00015623 ,186.85107999999997
7.91555273e-05 ,94.6700106508
0.0002233 ,267.0668
0.00029077 ,347.76091999999994
1.86666822e-05 ,22.3253519112
0.00026149 ,312.74204
0.00033626 ,402.16696
0.0002642 ,315.98320000000007
0.00039327 ,470.3509199999999
0.00015566 ,186.16936
