SubstitutionRate,Theta
0.00026177 ,313.07692000000003
0.0004151 ,496.4596
0.00037988 ,454.33648
0.00017264 ,206.47743999999997
2.6009165e-06 ,3.1106961340000003
3.30423259e-05 ,39.5186217764
6.40149564e-05 ,76.56188785439998
0.00019496 ,233.17216
7.87867961e-05 ,94.2290081356
0.00012012 ,143.66351999999998
0.00032685 ,390.91260000000005
0.0003478 ,415.9688
0.00025506 ,305.05176
0.00024951 ,298.41396
0.00019712 ,235.75552000000002
0.00021608 ,258.43168
0.00012243 ,146.42628000000002
0.00018651 ,223.06596000000002
3.80764019e-06 ,4.5539376672400005
0.00013495 ,161.4002
0.00025661 ,306.90556
2.49343875e-05 ,29.821527449999998
0.00016708 ,199.82768000000002
0.00010116 ,120.98736
3.89267466e-05 ,46.556388933600005
0.00018801 ,224.85996
8.7351776e-05 ,104.47272409600001
5.6003294e-05 ,66.979939624
0.00014369 ,171.85324000000003
5.71202987e-05 ,68.3158772452
0.00021254 ,254.19784
5.92037931e-05 ,70.8077365476
0.00036481 ,436.31276
6.07344487e-05 ,72.6384006452
0.00035968 ,430.17728
0.00039617 ,473.81932
0.00011218 ,134.16728
3.50667905e-05 ,41.939881438
0.00021464 ,256.70944
1.78172509e-06 ,2.13094320764
0.00038584 ,461.46464
0.00018391 ,219.95636
0.00010057 ,120.28171999999999
0.0002569 ,307.2524
2.10948309e-06 ,2.52294177564
0.00031095 ,371.8962
0.0001481 ,177.12759999999997
0.00031435 ,375.9626
8.67687691e-05 ,103.7754478436
0.00029233 ,349.62667999999996
0.00021927 ,262.24692
5.62269806e-05 ,67.24746879759999
0.00027323 ,326.78308000000004
0.00031413 ,375.69947999999994
5.8616067e-05 ,70.104816132
0.00025719 ,307.59924
0.00034864 ,416.97344
0.00020269 ,242.41724000000002
0.00018127 ,216.79892
0.00020922 ,250.22712
1.18388714e-05 ,14.159290194399999
0.00017377 ,207.82892
8.50576804e-05 ,101.7289857584
9.86164086e-05 ,117.94522468560001
7.13100142e-05 ,85.28677698320001
5.24048179e-05 ,62.67616220840001
0.00036729 ,439.27884
0.0002471 ,295.53159999999997
4.05005452e-05 ,48.4386520592
0.00023051 ,275.68996
0.00030665 ,366.7534
0.00027955 ,334.3418
0.00024222 ,289.69512
0.00030463 ,364.33748
0.00029078 ,347.77288
0.00025662 ,306.91752
0.00026155 ,312.8138
0.00024547 ,293.58212000000003
0.00027707 ,331.37572
0.00041328 ,494.28288
0.00019014 ,227.40744
0.00021009 ,251.26764
0.00015554 ,186.02584
